index,val_geracao,id_subsistema,nom_subsistema,id_estado,cod_modalidadeoperacao,id_ons,nom_tipousina
2020-01-01,116387.442,S,SUL,PR,TIPO I,PRGJR,HIDROELÉTRICA
2020-01-02,163275.41,S,SUL,PR,TIPO I,PRUHSS,HIDROELÉTRICA
2020-01-03,147938.013,S,SUL,PR,TIPO I,PRSCL,HIDROELÉTRICA
2020-01-04,138267.427,S,SUL,PR,TIPO I,PRSCL,HIDROELÉTRICA
2020-01-05,116522.452,S,SUL,PR,TIPO I,PRGNB,HIDROELÉTRICA
2020-01-06,169239.38,S,SUL,PR,TIPO I,PRSCL,HIDROELÉTRICA
2020-01-07,186963.277,S,SUL,PR,TIPO I,PRGBM,HIDROELÉTRICA
2020-01-08,185560.934,S,SUL,PR,TIPO III,PRULUD,HIDROELÉTRICA
2020-01-09,189310.242,S,SUL,PR,TIPO I,PRSCL,HIDROELÉTRICA
2020-01-10,211500.088,S,SUL,PR,TIPO I,PRSCL,HIDROELÉTRICA
2020-01-11,176054.463,S,SUL,PR,TIPO I,PRFND,HIDROELÉTRICA
2020-01-12,141570.225,S,SUL,PR,TIPO I,PRGBM,HIDROELÉTRICA
2020-01-13,197536.205,S,SUL,PR,TIPO I,PRGJC,HIDROELÉTRICA
2020-01-14,201167.848,S,SUL,PR,TIPO III,PRULUD,HIDROELÉTRICA
2020-01-15,206861.568,S,SUL,PR,TIPO I,PRGPSU,HIDROELÉTRICA
2020-01-16,206929.585,S,SUL,PR,TIPO I,PRUHSO,HIDROELÉTRICA
2020-01-17,169968.272,S,SUL,PR,TIPO I,PRUHSO,HIDROELÉTRICA
2020-01-18,125572.48,S,SUL,PR,TIPO I,PRFND,HIDROELÉTRICA
2020-01-19,110261.675,S,SUL,PR,TIPO I,PRUHSS,HIDROELÉTRICA
2020-01-20,188805.751,S,SUL,PR,TIPO I,PRGBM,HIDROELÉTRICA
2020-01-21,198323.25,S,SUL,PR,TIPO I,PRGNB,HIDROELÉTRICA
2020-01-22,170616.245,S,SUL,PR,TIPO I,PRGJC,HIDROELÉTRICA
2020-01-23,148983.691,S,SUL,PR,TIPO I,PRUHBI,HIDROELÉTRICA
2020-01-24,160150.218,S,SUL,PR,TIPO I,PRGNB,HIDROELÉTRICA
2020-01-25,111973.208,S,SUL,PR,TIPO I,PRGJC,HIDROELÉTRICA
2020-01-26,107598.328,S,SUL,PR,TIPO III,PRUTBG,HIDROELÉTRICA
2020-01-27,185397.518,S,SUL,PR,Pequenas Usinas (Tipo III),PQU_PHCOP,HIDROELÉTRICA
2020-01-28,172949.166,S,SUL,PR,TIPO I,PRUHBI,HIDROELÉTRICA
2020-01-29,181651.148,S,SUL,PR,TIPO III,PRULUD,HIDROELÉTRICA
2020-01-30,165772.451,S,SUL,PR,TIPO I,PRSCL,HIDROELÉTRICA
2020-01-31,149347.624,S,SUL,PR,TIPO I,PRGPSU,HIDROELÉTRICA
2020-02-01,110699.404,S,SUL,PR,TIPO III,PRUTBG,HIDROELÉTRICA
2020-02-02,99691.767,S,SUL,PR,TIPO I,PRGJC,HIDROELÉTRICA
2020-02-03,165963.555,S,SUL,PR,TIPO I,PRSCL,HIDROELÉTRICA
2020-02-04,160497.066,S,SUL,PR,TIPO I,PRUHSO,HIDROELÉTRICA
2020-02-05,152803.256,S,SUL,PR,TIPO III,PRULUD,HIDROELÉTRICA
2020-02-06,156845.342,S,SUL,PR,TIPO I,PRGNB,HIDROELÉTRICA
2020-02-07,152618.56,S,SUL,PR,TIPO I,PRSCL,HIDROELÉTRICA
2020-02-08,107349.412,S,SUL,PR,TIPO I,PRUHSS,HIDROELÉTRICA
2020-02-09,104828.371,S,SUL,PR,TIPO I,PRGJR,HIDROELÉTRICA
2020-02-10,132941.758,S,SUL,PR,TIPO I,PRFND,HIDROELÉTRICA
2020-02-11,116350.108,S,SUL,PR,TIPO III,PRULUD,HIDROELÉTRICA
2020-02-12,121511.589,S,SUL,PR,TIPO I,PRUHBI,HIDROELÉTRICA
